H,S,V,class
57,172,153,verde
56,167,147,verde
55,171,155,verde
57,168,158,verde
57,168,159,verde
56,165,145,verde
56,166,158,verde
57,171,154,verde
56,165,158,verde
56,167,159,verde
56,162,145,verde
58,162,154,verde
58,159,148,verde
57,170,150,verde
57,167,148,verde
58,157,149,verde
58,161,149,verde
58,164,149,verde
56,164,145,verde
58,161,150,verde
57,167,147,verde
57,165,159,verde
55,173,156,verde
56,174,155,verde
57,166,146,verde
55,172,159,verde
55,172,154,verde
56,169,148,verde
