H,S,V,class
18,5,255,branco
15,6,255,branco
21,7,255,branco
23,9,255,branco
30,12,254,branco
32,14,255,branco
32,16,255,branco
32,14,255,branco
30,10,255,branco
25,6,255,branco
0,0,254,branco
105,2,255,branco
50,3,255,branco
60,7,254,branco
27,42,255,branco
29,26,255,branco
28,19,255,branco
26,15,255,branco
25,11,255,branco
21,7,255,branco
15,6,255,branco
21,7,255,branco
26,8,255,branco
30,12,254,branco
32,14,255,branco
32,16,255,branco
32,14,255,branco
33,10,255,branco
35,6,255,branco
0,0,254,branco
105,2,255,branco
50,3,255,branco
60,7,253,branco
67,9,255,branco
28,31,255,branco
29,21,254,branco
26,17,255,branco
25,11,255,branco
21,7,255,branco
15,6,255,branco
21,7,255,branco
26,8,255,branco
30,12,255,branco
32,14,255,branco
32,16,255,branco
32,14,255,branco
33,10,255,branco
35,6,255,branco
0,0,254,branco
75,2,255,branco
83,4,254,branco
72,5,255,branco
67,9,255,branco
28,33,255,branco
27,23,254,branco
26,20,255,branco
25,13,255,branco
23,9,255,branco
21,7,255,branco
21,7,255,branco
26,8,255,branco
30,12,255,branco
32,14,255,branco
34,16,255,branco
34,14,255,branco
35,11,255,branco
35,6,255,branco
0,0,254,branco
75,2,255,branco
83,4,253,branco
72,5,255,branco
73,9,255,branco
27,36,255,branco
28,27,254,branco
26,22,255,branco
26,14,255,branco
25,11,255,branco
21,7,255,branco
21,7,255,branco
26,8,255,branco
30,12,255,branco
32,14,255,branco
34,16,255,branco
34,14,255,branco
35,11,255,branco
35,6,255,branco
0,0,254,branco
75,2,255,branco
83,4,255,branco
73,9,253,branco
73,9,255,branco
74,13,254,branco
29,39,255,branco
27,32,255,branco
28,25,255,branco
27,19,255,branco
25,11,255,branco
23,9,255,branco
25,6,254,branco
30,8,255,branco
30,10,255,branco
32,14,255,branco
34,16,255,branco
34,14,254,branco
35,13,255,branco
34,8,255,branco
50,3,255,branco
90,1,255,branco
83,4,255,branco
80,9,253,branco
73,9,255,branco
75,12,255,branco
29,42,255,branco
28,35,255,branco
28,27,255,branco
27,21,255,branco
26,14,255,branco
21,10,255,branco
30,8,254,branco
30,7,255,branco
30,10,255,branco
32,14,255,branco
34,14,254,branco
34,14,254,branco
35,13,255,branco
34,8,255,branco
38,4,255,branco
90,1,255,branco
83,4,254,branco
70,6,255,branco
73,9,254,branco
72,10,255,branco
30,37,255,branco
30,30,255,branco
27,23,255,branco
28,14,255,branco
23,12,252,branco
30,7,255,branco
30,8,254,branco
33,10,255,branco
34,14,255,branco
34,14,254,branco
34,14,254,branco
35,13,254,branco
34,8,254,branco
36,5,255,branco
45,2,255,branco
68,4,255,branco
70,6,252,branco
73,9,255,branco
70,12,255,branco
72,17,254,branco
29,43,255,branco
30,34,255,branco
28,27,255,branco
28,19,255,branco
26,14,252,branco
30,9,255,branco
30,10,254,branco
33,12,255,branco
34,14,255,branco
34,14,254,branco
34,14,254,branco
35,13,254,branco
35,11,255,branco
35,6,255,branco
30,4,255,branco
42,5,255,branco
55,6,255,branco
60,7,255,branco
65,11,255,branco
69,16,255,branco
29,47,254,branco
30,38,255,branco
29,31,255,branco
29,21,255,branco
26,15,254,branco
30,10,255,branco
30,10,255,branco
33,12,255,branco
34,14,255,branco
34,14,254,branco
34,14,254,branco
35,13,254,branco
35,11,255,branco
35,6,254,branco
35,6,255,branco
35,6,254,branco
36,5,255,branco
51,7,253,branco
57,11,254,branco
63,12,255,branco
30,50,255,branco
30,41,255,branco
30,31,255,branco
29,22,255,branco
26,17,255,branco
30,12,255,branco
30,10,255,branco
33,12,255,branco
34,14,255,branco
35,17,255,branco
35,17,255,branco
34,14,254,branco
35,13,255,branco
34,8,254,branco
35,6,255,branco
34,8,254,branco
30,7,255,branco
40,9,254,branco
48,12,255,branco
60,11,255,branco
63,18,255,branco
30,43,255,branco
30,33,255,branco
30,23,255,branco
30,15,255,branco
